UserINode,UserJNode,INode,JNode,I_Z,J_Z,Max Drift X,Max Drift Y,Series,LoadCase
5,6,22,92,-5,0,0.0176358,0.0117897,Level4,gm1RSN6_IMPVALL.I_I-ELC180
5,6,22,92,-5,0,0.011081,0.0097131,Level4,gm2RSN4458_MONTENE.GRO_ULO000
5,6,22,92,-5,0,0.0116272,0.0165308,Level4,gm3RSN165_IMPVALL.H_H-CHI012
5,6,22,92,-5,0,0.02374,0.0134578,Level4,gm4RSN723_SUPER.B_B-PTS225
5,6,22,92,-5,0,0.023692,0.0175305,Level4,gm5RSN779_LOMAP_LGP000
5,6,22,92,-5,0,0.0202427,0.0276626,Level4,gm6RSN828_CAPEMEND_PET000
5,6,22,92,-5,0,0.0327179,0.0256626,Level4,gm7RSN1086_NORTHR_SYL090
5,6,22,92,-5,0,0.0174752,0.0105579,Level4,gm8RSN949_NORTHR_ARL090
5,6,22,92,-5,0,0.0354936,0.0313338,Level4,gm9RSN1120_KOBE_TAK000
5,6,22,92,-5,0,0.0284176,0.0295083,Level5,gm10RSN1119_KOBE_TAZ000
5,6,22,92,-5,0,0.0124355,0.015073,Level5,gm11RSN1528_CHICHI_TCU101-E
5,6,22,92,-5,0,0.0223044,0.0161144,Level5,gm1RSN6_IMPVALL.I_I-ELC180
5,6,22,92,-5,0,0.0151537,0.013271,Level5,gm2RSN4458_MONTENE.GRO_ULO000
5,6,22,92,-5,0,0.015482,0.0211246,Level5,gm3RSN165_IMPVALL.H_H-CHI012
5,6,22,92,-5,0,0.0251565,0.0183704,Level5,gm4RSN723_SUPER.B_B-PTS225
5,6,22,92,-5,0,0.0312655,0.0214682,Level5,gm5RSN779_LOMAP_LGP000
5,6,22,92,-5,0,0.0226481,0.038976,Level5,gm6RSN828_CAPEMEND_PET000
5,6,22,92,-5,0,0.0371757,0.0303001,Level5,gm7RSN1086_NORTHR_SYL090
5,6,22,92,-5,0,0.0233933,0.0144171,Level5,gm8RSN949_NORTHR_ARL090
5,6,22,92,-5,0,0.0513673,0.0392439,Level5,gm9RSN1120_KOBE_TAK000
